Row Labels,churn rate,churn value lost,data roam
Calgary,0.116564417,4945.59934,3.346707986
Vancouver,0.226950355,4141.520072,3.406971663
Edmonton,0.119675456,3601.987546,3.306403862
Surrey,0.158415842,2061.418578,3.020311778
Richmond,0.213483146,1251.500704,3.379089442
Burnaby,0.155963303,1056.196614,3.259262286
Coquitlam,0.17721519,885.7133302,3.041070428
North Vancouver,0.55,679.0100827,3.21612509
Kelowna,0.188679245,640.1369451,2.810074904
New Westminster,0.27027027,636.3782677,3.488102825
Lethbridge,0.136363636,550.4669868,2.529532643
Port Coquitlam,0.275862069,506.5550215,3.117413957
Red Deer,0.127659574,394.3085773,3.230711343
Abbotsford,0.060606061,387.223765,2.082702031
Kamloops,0.130434783,373.3775086,2.076353901
Medicine Hat,0.128205128,327.8198609,2.932876494
Nanaimo,0.119047619,313.0906779,3.44306593
Chilliwack,0.125,309.0310791,2.480633829
Grande Prairie,0.222222222,266.2315335,2.956167426
Maple Ridge,0.148148148,262.9711046,2.086597268
Victoria,0.076923077,255.1588786,3.439370614
Vernon,0.2,248.1636923,2.403557587
Airdrie,0.103448276,200.5157775,2.689610737
Cochrane,0.230769231,196.4622437,3.04990492
Fort St. John,0.75,194.6994958,2.890789875
Langley,0.157894737,193.5955332,3.111585229
Penticton,0.176470588,190.9781884,3.115380152
Lloydminster (Part),0.272727273,188.3543554,3.136666015
Beaumont,0.230769231,188.2567412,3.24264384
Prince George,0.069767442,187.5257001,1.902502468
White Rock,0.272727273,186.3043291,3.166628019
St. Albert,0.074074074,132.8975487,3.216385947
Calmar,1,130.1656245,2.634129022
Campbell River,0.133333333,129.1634014,1.685543395
Gibbons,0.333333333,128.488073,2.162599055
View Royal,0.4,127.9058152,2.734103144
Cranbrook,0.181818182,127.8090368,2.789839364
Raymond,0.5,126.2238301,2.759276325
Brooks,0.181818182,125.2269489,2.680385102
Leduc,0.111111111,124.2511829,2.7089195
Courtenay,0.181818182,123.0069546,2.997319426
Langford,0.111111111,120.7854468,3.447232796
Fort Saskatchewan,0.083333333,64.92139988,2.553376402
Whitecourt,0.25,64.57687951,2.489210306
Comox,1,64.44315735,3.491521567
Wainwright,0.25,64.32209754,2.986963074
Wetaskiwin,0.25,64.21078066,2.761155012
Slave Lake,0.5,63.97004751,2.896742767
Westlock,1,63.76466012,2.495520505
Prince Rupert,0.25,63.75826762,1.89183999
Creston,0.333333333,63.6556665,2.640754459
Parksville,0.166666667,63.06524963,3.476555144
Coaldale,0.2,63.01707531,3.21307961
Camrose,0.1,62.53803353,2.523828019
Kimberley,0.5,62.48578905,1.814806543
Ladysmith,0.333333333,62.46120762,2.605744899
Redcliff,0.25,62.45868453,2.444361251
Nelson,0.111111111,62.08867817,3.403173439
Osoyoos,0.5,61.94795068,2.614127231
Salmon Arm,0.111111111,61.93035689,1.93558537
Qualicum Beach,0.2,61.87839068,2.81668832
Oliver,0.333333333,61.75117262,3.134726407
Sylvan Lake,0.076923077,61.69397108,2.854769696
Athabasca,0.2,61.67583146,1.733906531
Mayerthorpe,0.5,61.63876622,2.030932295
Duncan,0.166666667,61.60750648,3.124020944
Cardston,1,61.28151149,2.351884813
Revelstoke,0.2,60.92385971,1.629278108
Okotoks,0.071428571,60.8177883,3.033402979